Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2020 Audi Q7 3.0 TFSI Quattro SUV - S-Line 55,"RM 5,678 / month","RM 438,000",Audi Q7,35 - 40K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2016 Mazda 3 2.0 SKYACTIV-G GL Sedan - 3TAHUN WARRANTY,RM 647 / month,"RM 49,900",Mazda 3,105 - 110K KM,Automatic,"Penang, Butterworth"
"2015 Honda HR-V 1.8 i-VTEC E SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 710 / month,"RM 54,800",Honda HR-V,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
2015 Mercedes-Benz CLA200 1.6 Coupe,"RM 1,320 / month","RM 101,800",Mercedes-Benz CLA200,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
"2014 Toyota Vios 1.5 G Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 568 / month,"RM 43,800",Toyota Vios,90 - 95K KM,Automatic,"Penang, Sungai Nibong"
2017 MINI 2.0 Cooper S Works 210 Convertible - John Cooper Works,"RM 2,059 / month","RM 158,800",N/A,55 - 60K KM,Automatic,"Penang, Sungai Nibong"
2014 Honda City 1.5 E i-VTEC Sedan - FULL SERVICE RECORD BY MALAYSIA,RM 516 / month,"RM 39,800",Honda City,75 - 80K KM,Automatic,"Penang, Sungai Nibong"
"2016 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - CX5 , FULL SERVICE RECORD, TIPTOP CONDITION, LIKE NEW CAR, WARRANTY PROVIDED",RM 830 / month,"RM 63,999",Mazda CX-5,130 - 135K KM,Automatic,"Selangor, Puchong"
"2014/2016 Toyota Harrier 2.0 Premium Advanced SUV - JBL SOUND SYSTEM, POWER BOOT, CAR KING, PRE COLLISION SYSTEM, REGISTER 2016 UNIT, CAR KING","RM 1,361 / month","RM 104,999",Toyota Harrier,80 - 85K KM,Automatic,"Selangor, Puchong"
"2018 BMW 330e 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,164 / month","RM 89,800",BMW 330e,100 - 105K KM,Automatic,"Penang, Bukit Mertajam"
2017 Honda Jazz 1.5 E i-VTEC Hatchback - (A),RM 736 / month,"RM 56,800",Honda Jazz,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
2018 Lexus RX300 2.0 Premium SUV - (A) 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT,"RM 2,826 / month","RM 218,000",N/A,105 - 110K KM,Automatic,"Penang, Greenlane"
"2015 Honda Jazz 1.5 V i-VTEC Hatchback - MODULO BODYKITS, ANDROID PLAYER WITH REVERSE CAMERA, CAR KING WITH WARRANTY RAMADHAN SALE",RM 648 / month,"RM 49,999",Honda Jazz,85 - 90K KM,Automatic,"Selangor, Puchong"
"2014 Toyota Vios 1.5 J Sedan - , FULL CAR BLACK BODYKITS, NICE LOOK, BLACK SPORT RIMS, ANDROID PLAYER, REVERSE CAMERA, MERDEKA SALE, OFFER",RM 493 / month,"RM 37,999",Toyota Vios,90 - 95K KM,Automatic,"Selangor, Puchong"
2015 Nissan X-Trail 2.0 SUV - L (A) CVT IMPUL Full Bodykit,RM 581 / month,"RM 44,800",Nissan X-Trail,75 - 80K KM,Automatic,"Selangor, Serdang"
2017 Mercedes-Benz E250 2.0 Avantgarde Sedan - (A),"RM 2,398 / month","RM 185,000",Mercedes-Benz E250,50 - 55K KM,Automatic,"Penang, Greenlane"
"2014/2019 Toyota Alphard 2.4 G MPV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 1,423 / month","RM 109,800",Toyota Alphard,140 - 145K KM,Automatic,"Penang, Bukit Mertajam"
2013 Honda Civic 2.0 S i-VTEC Sedan - (A) MUGEN BODYKIT 1 YEAR WARRANTY,RM 516 / month,"RM 39,800",Honda Civic,95 - 100K KM,Automatic,"Penang, Sungai Nibong"
2015 BMW X5 3.0 xDrive35i SUV,"RM 1,631 / month","RM 125,800",BMW X5,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2018 Peugeot 3008 1.6 THP Allure SUV,RM 814 / month,"RM 62,800",Peugeot 3008,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2014 BMW 320i 2.0 Sport Line Sedan - Sport (A) CKD,RM 840 / month,"RM 64,800",BMW 320i,120 - 125K KM,Automatic,"Penang, Perai"
2016 Mazda CX-3 2.0 SKYACTIV SUV - CAR KING,RM 778 / month,"RM 59,999",Mazda CX-3,40 - 45K KM,Automatic,"Johor, Skudai"
2017 BMW 330e 2.0 M Sport Sedan - ORIGINAL SUNROOF EASY LOAN,"RM 1,037 / month","RM 79,999",BMW 330e,65 - 70K KM,Automatic,"Johor, Skudai"
2012/2013 Nissan Navara 2.5 Dual Cab Pickup Truck - 4w 4x4 LE (A) Warranty for 1 YEAR GUARANTEE No Accident No Total Lost No Flood 5 Days Money back Guarantee,RM 438 / month,"RM 33,800",Nissan Navara,105 - 110K KM,Automatic,"Kuala Lumpur, Setapak"
"2017 BMW X6 3.0 xDrive35i M Sport SUV - M-SPORT WTY 2025 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT,POWER BOOT,ONE OF DATIN D OWNER","RM 2,308 / month","RM 178,000",BMW X6,115 - 120K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2019 BMW 530e 2.0 M Sport Sedan,"RM 2,100 / month","RM 162,000",BMW 530e,40 - 45K KM,Automatic,"Johor, Johor Bahru"
2016 Mitsubishi Triton 2.4 VGT Adventure Dual Cab Pickup Truck - VGT Adventure 4X4 HS NO OFF ROAD FULL LEATHER SEAT PADDLE SHIFT PUSHSTART POWER ADJUST SEAT REVERSE CAM,RM 853 / month,"RM 65,800",Mitsubishi Triton,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2015 BMW 328i 2.0 M Sport Sedan - CKD PADDLE SHIFT PUSHSTART FULL RED LEATHER SEAT FULL BODY KIT W SPOILER,"RM 1,035 / month","RM 79,800",BMW 328i,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Honda City 1.5 V i-VTEC Sedan - FACELIFT PADDLE SHIFT FULL LEATHER SEAT REVERSE CAM,RM 762 / month,"RM 58,800",Honda City,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Mitsubishi Triton 2.4 VGT Athlete Dual Cab Pickup Truck - VGT Athlete (A) 1 YEAR WARRANTY,RM 998 / month,"RM 77,000",Mitsubishi Triton,105 - 110K KM,Automatic,"Penang, Greenlane"
2019 Honda City 1.5 V i-VTEC Sedan - PADDLE SHIFT 1 OWNER WARRANTY,RM 775 / month,"RM 59,800",Honda City,50 - 55K KM,Automatic,"Kuala Lumpur, Cheras"
2019/2021 Porsche Cayenne 2.9 S Coupe - Sunroof Facelift Gls Premium Full Spec Warranty for 3YEARS 5 Days Cash Back,"RM 8,282 / month","RM 638,800",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Setapak"
2014 Honda City 1.5 E i-VTEC Sedan - L AUTO (WARRANTY PROVIDED),RM 516 / month,"RM 39,800",Honda City,95 - 100K KM,Automatic,"Selangor, Petaling Jaya"
2014 Mazda CX-5 2.0 SKYACTIV-G Mid Spec SUV - L AUTO,RM 620 / month,"RM 47,800",Mazda CX-5,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
2013 Mazda 6 2.0 SKYACTIV-G Sedan,RM 633 / month,"RM 48,800",Mazda 6,90 - 95K KM,Automatic,"Melaka, Melaka"
2015 Porsche Macan 3.0 S SUV - 340-BHP 460-NM FULL SPEC 3.6 TURBO 2.0,"RM 2,462 / month","RM 189,900",Porsche Macan,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2016 Mercedes-Benz C180 1.6 Avantgarde Sedan - (A),"RM 1,361 / month","RM 105,000",Mercedes-Benz C180,45 - 50K KM,Automatic,"Penang, Gelugor"
"2015/2017 Toyota Harrier 2.0 Premium Advanced SUV - GREAT DEAL, Recon. 17 - A T","RM 1,296 / month","RM 100,000",Toyota Harrier,66000 KM,Automatic,"Selangor, Petaling Jaya"
2014 Lexus ES250 2.5 Luxury Sedan - L AUTO (SUNROOF MEMORY SEAT),"RM 1,112 / month","RM 85,800",Lexus ES250,80 - 85K KM,Automatic,"Selangor, Petaling Jaya"
2015 Nissan Navara 2.5 SE Dual Cab Pickup Truck - SE (M) NP300 4WD 1year Warranty,RM 594 / month,"RM 45,800",Nissan Navara,70 - 75K KM,Manual,"Selangor, Serdang"
2018 Nissan Navara 2.5 SINGLE CAB Pickup Truck - (M) Single Cub 4WD,RM 710 / month,"RM 54,800",Nissan Navara,65 - 70K KM,Manual,"Selangor, Serdang"
2014 Toyota Vellfire 3.5 V L Edition MPV - (A) 1 YEAR WARRANTY,"RM 1,452 / month","RM 112,000",Toyota Vellfire,75 - 80K KM,Automatic,"Penang, Greenlane"
2013 Lexus RX350 3.5 SUV - on the road Offer Paling Cantik (Stok Clearance) - 1 Tahun Warranty,"RM 1,036 / month","RM 79,900",Lexus RX350,130 - 135K KM,Automatic,"Selangor, Petaling Jaya"
2014 Mazda CX-5 2.0 SKYACTIV-G Mid Spec SUV - Offer Paling Cantik (Stok Clearance) - 1 Tahun Warranty,RM 517 / month,"RM 39,900",Mazda CX-5,145 - 150K KM,Automatic,"Selangor, Shah Alam"
2019 Nissan Serena 2.0 S-Hybrid High-Way Star Impul J Impul MPV - FULL SERVICE RECORD,"RM 1,177 / month","RM 90,800",Nissan Serena,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Audi A3 1.4 TFSI Sedan - S-LINE,RM 726 / month,"RM 55,999",Audi A3,55 - 60K KM,Automatic,"Johor, Skudai"
2020 Toyota Alphard 2.5 G S C Package MPV - SC 3LED P-SEAT P-BOOT,"RM 3,047 / month","RM 235,000",Toyota Alphard,65 - 70K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Mazda 6 2.5 SKYACTIV-G Sedan - FACELIFT BOSE SYSTEM SUNROOF LOW MILEAGE 1 OWNER,RM 983 / month,"RM 75,800",Mazda 6,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Mazda 6 2.5 SKYACTIV-G Sedan - LIMITED CAR KING TIP TOP,"RM 1,167 / month","RM 89,999",Mazda 6,60 - 65K KM,Automatic,"Johor, Skudai"
2016 Toyota Sienta 1.5 V MPV,RM 697 / month,"RM 53,800",Toyota Sienta,70 - 75K KM,Automatic,"Selangor, Telok Panglima Garang"
"2013/2014 Honda City 1.5 S i-VTEC Sedan - i-VTEC ,NEW FACELIFT ,MODULO SPORT BODYKIT , GOOD CONDITION LIKE NEW",RM 337 / month,"RM 25,999",Honda City,90 - 95K KM,Automatic,"Selangor, Puchong"
2014 Audi A3 1.4 TFSI Sedan - S-LINE RS-3 SPORT TIP-TOP CONDITION,RM 568 / month,"RM 43,800",Audi A3,145 - 150K KM,Automatic,"Selangor, Seri Kembangan"
2015/2017 Land Rover Range Rover 5.0 Supercharged Vogue Autobiography SUV,"RM 3,483 / month","RM 268,686",N/A,95 - 100K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2014 Ford Ranger 2.2 XL Hi-rider Dual Cab Pickup Truck - CASH OTR XL MANUAL DIESEL TURBO 4WD SINGLE CAB 2 DOOR 1 YEAR WARRANTY,RM 555 / month,"RM 42,800",Ford Ranger,100 - 105K KM,Manual,"Selangor, Klang"
2015 Ford Ranger 2.2 XL Hi-rider Dual Cab Pickup Truck - CASH OTR XL MANUAL DIESEL TURBO 4WD SINGLE CAB 2 DOOR PICKUP 1 YEAR WARRANTY,RM 646 / month,"RM 49,800",Ford Ranger,85 - 90K KM,Manual,"Selangor, Klang"
2015 Peugeot 3008 1.6 SUV - TURBO FACELIFT (A) MOONROOF LOCAL GPS,RM 347 / month,"RM 26,800",Peugeot 3008,70 - 75K KM,Automatic,"Selangor, Cheras"
2015 Toyota Harrier 2.0 Premium Advanced SUV - JBL POWER BOOTH LEATHER MODELISTA WITH WARRANTY,"RM 1,191 / month","RM 91,888",Toyota Harrier,75 - 80K KM,Automatic,"Selangor, Kajang"
2016 Nissan Navara 2.5 NP300 Single Cab Pickup Truck - NP300 (M) Single Cub 4WD,RM 607 / month,"RM 46,800",Nissan Navara,85 - 90K KM,Manual,"Selangor, Serdang"
2014 Honda Accord 2.0 i-VTEC VTi-L Sedan - VTIL (A) 5YEARS WARRANTY,RM 697 / month,"RM 53,800",Honda Accord,110 - 115K KM,Automatic,"Penang, Butterworth"
"2014 Mercedes-Benz E200 2.0 Avantgarde Sedan - (A) CBU, 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT","RM 1,125 / month","RM 86,800",Mercedes-Benz E200,80 - 85K KM,Automatic,"Penang, Greenlane"
2013 Audi A6 2.0 TFSI Sedan - (A) HYBRID SUNROOF BOSE SPEAKER FREE WARRANTY,RM 543 / month,"RM 41,888",Audi A6,130 - 135K KM,Automatic,"Selangor, Puchong"
2013/2014 BMW 320i 2.0 Luxury Line Sedan - REG 2014 1 OWNER,RM 660 / month,"RM 50,888",BMW 320i,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
"2018 Mercedes-Benz GLC43 AMG 3.0 4MATIC SUV - FULL SERVICE RECORD , FOC WARRANTY 1 YEAR OFFER","RM 2,437 / month","RM 187,999",N/A,95 - 100K KM,Automatic,"Selangor, Puchong"
2015 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - PREMIUM SPEC LEATHER SEAT FULL SERVICE RECORD,RM 736 / month,"RM 56,800",Nissan Serena,105 - 110K KM,Automatic,"Selangor, Puchong"
2016 Honda HR-V 1.8 i-VTEC E SUV - (A) WARRANTY 1 YEAR - PUSH START BUTTON - KEYLESS ENTRY - TOUCH SCREEN - 1 OWNER - SELLING CHEAP IN MARKET PLACE,RM 607 / month,"RM 46,800",Honda HR-V,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2018 Mercedes-Benz A200 1.3 Progressive Line Hatchback - ORIGINAL PAINT W177 MODEL CKD CAR,"RM 1,774 / month","RM 136,800",Mercedes-Benz A200,95 - 100K KM,Automatic,"Selangor, Seri Kembangan"
2018 Audi A7 3.0 TFSI Quattro Sportback Hatchback - S7 RS7 TFSI 360 CAM B O SURROND SOUND,"RM 4,276 / month","RM 329,800",Audi A7,40 - 45K KM,Automatic,"Perak, Ipoh"
"2013 Toyota Vellfire 3.5 V L Edition MPV - V L VL Edition FULL SPEC (HOME THEATRE ,18 SPEAKERS 360 SURROUND CAMERA COOLBOX)","RM 1,126 / month","RM 86,888",Toyota Vellfire,95 - 100K KM,Automatic,"Selangor, Klang"
2018 Kia Sportage 2.0 KX SUV - (A) 1 YEAR WARRANTY,RM 892 / month,"RM 68,800",Kia Sportage,45 - 50K KM,Automatic,"Penang, Bukit Mertajam"
2017 Perodua AXIA 1.0 Advance Hatchback - (A) 1 YEAR WARRANTY,RM 425 / month,"RM 32,800",Perodua AXIA,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
2019 Honda City 1.5 E i-VTEC Sedan - (A),RM 814 / month,"RM 62,800",Honda City,75 - 80K KM,Automatic,"Penang, Bukit Mertajam"
2020 Perodua Myvi 1.5 AV Hatchback - (A) 1 YEAR WARRANTY,RM 633 / month,"RM 48,800",Perodua Myvi,70 - 75K KM,Automatic,"Penang, Bukit Mertajam"
2016 BMW X1 2.0 sDrive20i Sport Line SUV - (A) 1 YEAR WARRANTY,"RM 1,073 / month","RM 82,800",BMW X1,85 - 90K KM,Automatic,"Penang, Bukit Mertajam"
2020 Lexus RX300 2.0 F Sport SUV - PanRoof Low Mileage Red Leather Nego Till Let Go,"RM 3,734 / month","RM 288,000",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Toyota Alphard 2.5 G S C Package MPV - BIGSALE MODELLISTA 2PD 7S PB 3 EYES,"RM 3,227 / month","RM 248,888",Toyota Alphard,20 - 25K KM,Automatic,"Selangor, Puchong"
2019/2021 Porsche Cayenne 2.9 S SUV - COUPE (A) Twin Head Rest Display Full Leather Seat Gls Premium Full Spec Sport 5 DAY MONEY BACK GUARANTEE,"RM 8,282 / month","RM 638,800",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Setapak"
"2020 Lexus RX300 2.0 F Sport SUV - READY STOCK , Mark Levinson Sound System, Panoramic Roof, Red Interior and MORE","RM 3,747 / month","RM 289,000",N/A,30 - 35K KM,Automatic,"Selangor, Shah Alam"
2019 Toyota Rush 1.5 S SUV - G 7 SEATER KEYLESS PUSHSTART FULL LEATHER SEAT 360 REVERSE CAM,RM 801 / month,"RM 61,800",Toyota Rush,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Honda Civic 1.8 S i-VTEC Sedan - (A) NO PROCESSING CHARGE,RM 918 / month,"RM 70,800",Honda Civic,110 - 115K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Mazda CX-5 2.5 SKYACTIV-G GLS SUV - L AUTO- FULL SERVICE CAR,"RM 1,281 / month","RM 98,800",Mazda CX-5,70 - 75K KM,Automatic,"Selangor, Petaling Jaya"
2018 Toyota Noah 2.0 MPV - BIGSALE G MODELLISTA BODYKIT 2PD 7S PUSHSTART ANDROID PLAYER BROWN FABRIC SEATS DUAL TONE INTERIOR,"RM 1,838 / month","RM 141,800",N/A,30 - 35K KM,Automatic,"Selangor, Puchong"
2016 Toyota Hilux 2.5 G VNT Dual Cab Pickup Truck - VNT (M) WARRANTY 1 YEAR - 4X4 4WD - DOUBLE CAB - DUAL CAB - 1 OWNER - SELLING CHEAP IN MARKET PLACE,RM 723 / month,"RM 55,800",Toyota Hilux,80 - 85K KM,Manual,"Kuala Lumpur, Batu Caves / Selayang"
2021 Volkswagen Tiguan 1.4 Allspace Highline SUV - FULL SERVICE RECORD UNDER WARRANTY 7 SEAT PADDLE SHIFT POWER BOOT REAR AIRCOND VENT,"RM 1,514 / month","RM 116,800",Volkswagen Tiguan,45 - 50K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Proton Iriz 1.6 Premium Hatchback - PUSH START FULL LEATHER SEAT REVERSE CAM 1 MALAY LADY OWNER,RM 438 / month,"RM 33,800",Proton Iriz,40 - 45K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Perodua AXIA 1.0 G Hatchback - FULL SERVICE UNDER WARRANTY FABRI SEAT SPORT RIM,RM 347 / month,"RM 26,800",Perodua AXIA,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Toyota Fortuner 2.7 SRZ SUV - 4X4 ( FULL SERVICE RECORD 78K KM) 2018,"RM 1,502 / month","RM 115,888",Toyota Fortuner,75 - 80K KM,Automatic,"Selangor, Klang"
2015 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - (A) NO PROCESSING CHARGE 1 OWNER,RM 672 / month,"RM 51,800",Nissan Serena,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Toyota Vellfire 3.5 V L Edition MPV - V L-EDITION FACELIFT (A) 1 OWNER NO PROCESSING CHARGE,"RM 1,035 / month","RM 79,800",Toyota Vellfire,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
"2019 Land Rover Range Rover Sport 3.0 HSE SUV - SVR WTY 2025 ,CRYSTAL BLACK IN COLOUR,FULL LEATHER SEAT,PUSH START,ONE OF VIP OWNER","RM 4,613 / month","RM 355,800",Land Rover Range Rover Sport,30 - 35K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2013 Isuzu D-Max 2.5 Dual Cab Pickup Truck - (A) 4x4 FULL CANOPY n REVERSE CAMERA,RM 646 / month,"RM 49,800",Isuzu D-Max,110 - 115K KM,Automatic,"Penang, Sungai Nibong"
2014 Volkswagen Beetle 1.2 TSI Coupe - The,RM 775 / month,"RM 59,800",Volkswagen Beetle,55 - 60K KM,Automatic,"Penang, Sungai Nibong"
2016 Honda Accord 2.0 i-VTEC VTi-L Sedan - VTi-L FACELIFT MODEL,"RM 1,035 / month","RM 79,800",Honda Accord,80 - 85K KM,Automatic,"Johor, Johor Bahru"
"2014 Nissan Teana 2.0 XL Sedan - (A) - FULL SPEC - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 607 / month,"RM 46,800",Nissan Teana,90 - 95K KM,Automatic,"Penang, Sungai Nibong"
"2013 Mercedes-Benz C200 CGI 1.8 Avantgarde Sedan - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 697 / month,"RM 53,800",N/A,120 - 125K KM,Automatic,"Penang, Sungai Nibong"
2018 Mercedes-Benz C200 1.5 AMG Line Sedan - AMG,"RM 1,958 / month","RM 151,000",Mercedes-Benz C200,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2017 Toyota Harrier 2.0 Premium SUV - TURBO FACELIFT FULL SPEC (JBL SOUND SYSTEM 360 SURROUND CAMERA MOONROOF POWER BOOT PRE CRASH DUAL ELECTRIC SEAT) 2018,"RM 2,073 / month","RM 159,888",Toyota Harrier,40 - 45K KM,Automatic,"Selangor, Klang"
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan - (A),"RM 2,201 / month","RM 169,800",Mercedes-Benz C200,70 - 75K KM,Automatic,"Penang, Bukit Mertajam"
2019 BMW 740Le 3.0 xDrive Pure Excellence Sedan,"RM 4,019 / month","RM 310,000",N/A,30 - 35K KM,Automatic,"Selangor, Petaling Jaya"
"2015 Honda HR-V 1.8 i-VTEC E SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 685 / month,"RM 52,800",Honda HR-V,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
"2013 Land Rover Range Rover Evoque 2.0 Si4 Prestige SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 1,022 / month","RM 78,800",Land Rover Range Rover Evoque,105 - 110K KM,Automatic,"Penang, Sungai Nibong"
2019/2020 Mercedes-Benz GLE43 3.0 AMG OrangeArt Edition Coupe - (A) CBU GUARANTEE No Accident No Total Lost No Flood 5 Days Money back GuaranTEE,"RM 5,380 / month","RM 415,000",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Setapak"
2016 BMW X4 2.0 xDrive28i M Sport SUV - (LOW MILEAGE 90K KM DONE HEAD DISPLAY HARMAN KARDON ORIGINAL M SPORT),"RM 1,554 / month","RM 119,888",BMW X4,90 - 95K KM,Automatic,"Selangor, Klang"
2019 Perodua Alza 1.5 SE MPV - (A),RM 646 / month,"RM 49,800",Perodua Alza,90 - 95K KM,Automatic,"Penang, Bukit Mertajam"
2016 Perodua Myvi 1.5 SE Hatchback - (A) 1 YEAR WARRANTY,RM 452 / month,"RM 34,900",Perodua Myvi,60 - 65K KM,Automatic,"Penang, Greenlane"
2016 Honda Accord 2.0 i-VTEC VTi-L Sedan - (A) 1 YEAR WARRANTY,RM 972 / month,"RM 75,000",Honda Accord,75 - 80K KM,Automatic,"Penang, Greenlane"
"2016/2018 Ford MUSTANG 2.3 Coupe - FASTBACK 2 DOORS, WARRANTY PROVIDED, CAR KING 1 OWNER, RARE COLOUR RAMADHAN SALE","RM 2,204 / month","RM 169,999",Ford MUSTANG,70 - 75K KM,Automatic,"Selangor, Puchong"
2016 Mercedes-Benz C200 2.0 Avantgarde Sedan - (YEAR END PROMOTION) (12 MONTHS CARLIST QUALIFIED WARRANTY),"RM 1,504 / month","RM 115,999",Mercedes-Benz C200,55 - 60K KM,Automatic,"Johor, Johor Bahru"
"2012 Suzuki Grand Vitara 2.0 SUV - (A) ALL PROBLEM CAN APPLY LOAN HERE - CCRIS CTOS , BLACKLIST , AKPK , NO DOCUMENT , SAA - SEMUA MASALAH BOLEH BUAT LOAN KEDAI",RM 270 / month,"RM 20,800",Suzuki Grand Vitara,120 - 125K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2017 Toyota Sienta 1.5 V MPV,RM 827 / month,"RM 63,800",Toyota Sienta,75 - 80K KM,Automatic,"Penang, Greenlane"
2013 Lexus CT200h 1.8 Hatchback - 1 LADY OWNER FULL LEATHER SEAT PUSHSTART FULL BODY KIT,RM 594 / month,"RM 45,800",Lexus CT200h,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Perodua Myvi 1.5 H Hatchback,RM 581 / month,"RM 44,800",Perodua Myvi,80 - 85K KM,Automatic,"Penang, Simpang Ampat"
2016 Lexus NX200t 2.0 Premium SUV,"RM 1,929 / month","RM 148,800",Lexus NX200t,120 - 125K KM,Automatic,"Penang, Simpang Ampat"
2013 Kia Rio 1.4 SX Hatchback,RM 386 / month,"RM 29,800",Kia Rio,90 - 95K KM,Automatic,"Penang, Simpang Ampat"
2015 Honda HR-V 1.8 i-VTEC V SUV - (Free Warranty),RM 801 / month,"RM 61,800",Honda HR-V,130 - 135K KM,Automatic,"Penang, Simpang Ampat"
2021 BMW 330i 2.0 M Sport Driving Assist Pack Sedan,"RM 2,723 / month","RM 210,000",BMW 330i,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
2022 BMW M135i 2.0 xDrive Hatchback,"RM 4,149 / month","RM 320,000",N/A,10 - 15K KM,Automatic,"Selangor, Petaling Jaya"
"2017 Mitsubishi Triton 2.4 VGT Adventure Dual Cab Pickup Truck - FULL CAR LEATHER SEAT, ANDROID PLAYER WITH REVERSE CAMERA, KEYLESS PUSH START VGT Adventure FOC WARRANTY",RM 946 / month,"RM 72,999",Mitsubishi Triton,70 - 75K KM,Automatic,"Selangor, Puchong"
2017 Lexus RX350 3.5 F Sport SUV - (FULL SERVICE RECORD 70K KM DONE FULL SPEC ORIGINAL ) 2018,"RM 3,097 / month","RM 238,888",Lexus RX350,65 - 70K KM,Automatic,"Selangor, Klang"
2015 Volvo XC60 2.0 T5 SUV - FREE WARRANTY 1 Owner E Drive Facelift Low Mileage,RM 997 / month,"RM 76,888",Volvo XC60,90 - 95K KM,Automatic,"Selangor, Petaling Jaya"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV - L AUTO (NEW FACELIFT HIGH SPEC),"RM 1,255 / month","RM 96,800",Mazda CX-5,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
"2019 BMW X3 2.0 xDrive30i M Sport SUV - M-SPORT WTY 2025 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT IN BROWN COLOUR,REVERSE CAMERA,ONE OF DOCTOR OWNER","RM 2,184 / month","RM 168,500",BMW X3,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2013 Honda City 1.5 S i-VTEC Sedan - FULL CAR LEATHER SEAT CAR KING 1 OWNER NO PLATE CANTIK,RM 363 / month,"RM 27,999",Honda City,95 - 100K KM,Automatic,"Selangor, Puchong"
"2020 Perodua Myvi 1.5 H Hatchback - (A) SEMUA MASALAH BOLEH BUAT LOAN KEDAI SINI - CCRIS CTOS , BLACKLIST , NO DOCUMENT , AKPK , SAA - ALL PROBLEM CAN APPLY LOAN HERE",RM 516 / month,"RM 39,800",Perodua Myvi,65 - 70K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2018 BMW 318i 1.5 Luxury Sedan - (A) 1 OWNER FULL SERVICE RECORD NO PROCESSING CHARGE,"RM 1,086 / month","RM 83,800",BMW 318i,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Peugeot 2008 1.6 VTi SUV - NO PROCESSING CHARGE,RM 270 / month,"RM 20,800",Peugeot 2008,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras"
